NAME,PCODE,Date,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,투구,barrel,타율,LG,KIA,KT,키움,두산,한화,NC,롯데,삼성,SSG,홈경기수,원정경기수,장타,출루,OPS
강민호,74540,2018-03-24,17,63,4,14,3,0,1,20,6,0,0,5,0,0,10,3,0,1,274,4.0,0.2222222222222222,0.0,3.0,3.0,2.0,5.0,3.0,3.0,0.0,0.0,2.0,5.0,13.0,0.5573770491803278,0.3888888888888889,0.9462659380692168
강민호,74540,2018-04-17,16,61,9,19,3,0,4,34,10,0,0,5,4,1,17,4,0,2,284,6.0,0.3114754098360656,2.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,10.0,7.0,0.7894736842105263,0.34375,1.1332236842105263
강민호,74540,2018-05-11,17,57,11,17,4,0,8,45,21,0,0,3,2,0,12,0,0,2,227,7.0,0.2982456140350877,3.0,1.0,3.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,10.0,8.0,0.3035714285714285,0.27419354838709675,0.5777649769585254
강민호,74540,2018-06-04,15,56,4,12,2,0,1,17,9,0,0,3,2,0,13,1,0,1,235,6.0,0.21428571428571427,2.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,6.0,7.0,11.0,0.4418604651162791,0.3877551020408163,0.8296155671570954
강민호,74540,2018-06-28,11,43,6,13,0,0,2,19,4,0,0,4,2,1,7,2,0,0,186,1.0,0.3023255813953488,0.0,3.0,3.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,5.0,9.0,0.52,0.3684210526315789,0.888421052631579
강민호,74540,2018-07-22,14,50,7,14,0,0,4,26,12,0,0,6,1,2,10,0,0,0,175,3.0,0.28,5.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,7.0,9.0,0.2380952380952381,0.2608695652173913,0.4989648033126294
강민호,74540,2019-03-23,17,60,8,13,1,0,4,26,10,0,0,4,1,0,16,1,0,1,259,4.0,0.21666666666666667,2.0,3.0,2.0,0.0,3.0,0.0,2.0,3.0,0.0,3.0,8.0,10.0,0.3859649122807017,0.3064516129032258,0.6924165251839276
강민호,74540,2019-04-16,15,57,8,14,5,0,1,22,6,0,0,4,1,0,18,2,0,0,228,3.0,0.2456140350877193,2.0,2.0,2.0,5.0,0.0,3.0,3.0,0.0,0.0,2.0,10.0,7.0,0.42857142857142855,0.3384615384615385,0.7670329670329671
강민호,74540,2019-05-10,17,56,9,13,5,0,2,24,6,0,0,6,3,1,12,1,0,0,265,8.0,0.23214285714285715,0.0,0.0,0.0,1.0,6.0,3.0,0.0,6.0,0.0,0.0,7.0,11.0,0.4423076923076923,0.31666666666666665,0.7589743589743589
강민호,74540,2019-06-03,15,52,6,11,3,0,3,23,8,0,0,7,1,1,11,1,1,0,254,1.0,0.21153846153846154,3.0,3.0,6.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,9.0,9.0,0.32432432432432434,0.3023255813953488,0.6266499057196732
강민호,74540,2019-06-27,12,37,1,7,2,0,1,12,5,0,0,4,2,0,7,1,1,0,166,5.0,0.1891891891891892,3.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,8.0,0.525,0.3170731707317073,0.8420731707317073
강민호,74540,2019-07-21,13,40,3,12,3,0,2,21,2,0,0,1,0,0,6,2,0,0,149,5.0,0.3,1.0,2.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,10.0,3.0,0.275,0.3469387755102041,0.6219387755102042
강민호,74540,2019-08-14,14,40,1,10,1,0,0,11,8,0,0,6,1,0,6,0,0,2,193,9.0,0.25,1.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,0.0,2.0,6.0,8.0,0.25,0.4,0.65
강민호,74540,2020-05-05,15,46,5,8,2,0,2,16,4,0,0,5,0,0,12,0,0,0,206,3.0,0.17391304347826084,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,9.0,8.0,0.4871794871794872,0.2307692307692308,0.7179487179487181
강민호,74540,2020-05-29,12,39,4,9,1,0,3,19,3,0,0,0,0,0,8,2,0,0,147,7.0,0.2307692307692308,3.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,9.0,7.0,0.58,0.3461538461538461,0.926153846153846
강민호,74540,2020-06-22,13,50,9,16,4,0,3,29,12,0,0,2,0,0,10,2,0,0,202,3.0,0.32,3.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,7.0,0.7857142857142857,0.5660377358490566,1.3517520215633425
강민호,74540,2020-07-16,13,42,9,19,2,0,4,33,12,0,0,10,1,2,3,1,0,0,219,5.0,0.4523809523809524,0.0,3.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,6.0,8.0,0.3877551020408163,0.3157894736842105,0.7035445757250268
강민호,74540,2020-08-09,14,49,5,12,1,0,2,19,8,0,0,5,1,0,10,5,0,2,215,6.0,0.24489795918367346,2.0,1.0,3.0,1.0,3.0,4.0,0.0,2.0,0.0,2.0,9.0,8.0,0.3191489361702128,0.3076923076923077,0.6268412438625205
강민호,74540,2020-09-02,16,47,4,11,1,0,1,15,3,0,0,5,0,0,6,4,0,0,206,5.0,0.23404255319148934,2.0,2.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,8.0,8.0,0.55,0.3692307692307693,0.9192307692307692
강민호,74540,2020-09-26,16,60,6,20,1,0,4,33,12,0,0,3,1,0,4,2,0,1,230,7.0,0.3333333333333333,2.0,0.0,3.0,0.0,0.0,4.0,2.0,3.0,0.0,4.0,10.0,8.0,0.4090909090909091,0.375,0.7840909090909092
강민호,74540,2021-04-18,12,49,9,18,3,0,4,33,15,0,0,9,0,2,6,2,0,0,197,6.0,0.3673469387755102,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,9.0,6.0,0.3877551020408163,0.3272727272727273,0.7150278293135436
강민호,74540,2021-05-12,14,49,6,14,2,0,1,19,7,0,0,3,1,0,8,3,0,2,174,6.0,0.2857142857142857,3.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,0.4776119402985074,0.3561643835616438,0.8337763238601512
강민호,74540,2021-06-05,17,67,9,20,3,0,3,32,10,0,0,6,0,0,9,2,0,0,264,11.0,0.29850746268656714,3.0,3.0,0.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,12.0,7.0,0.5,0.35897435897435903,0.858974358974359
강백호,68050,2018-03-24,17,68,11,21,6,0,5,42,16,0,1,9,0,0,17,0,0,1,315,8.0,0.3088235294117647,3.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,3.0,5.0,14.0,0.31746031746031744,0.3,0.6174603174603175
강백호,68050,2018-04-17,16,63,14,15,5,0,0,20,5,0,1,6,0,0,15,2,0,1,285,4.0,0.2380952380952381,0.0,3.0,0.0,2.0,2.0,0.0,0.0,3.0,6.0,3.0,14.0,5.0,0.5892857142857143,0.36666666666666653,0.9559523809523808
강백호,68050,2018-05-11,13,56,17,18,6,0,3,33,10,0,0,4,0,0,9,0,0,0,229,9.0,0.32142857142857145,3.0,3.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,6.0,10.0,0.547945205479452,0.375,0.922945205479452
강백호,68050,2018-06-04,18,73,11,23,2,0,5,40,9,1,1,5,2,0,16,0,0,0,306,4.0,0.3150684931506849,1.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,12.0,7.0,0.5333333333333333,0.3076923076923077,0.8410256410256409
강백호,68050,2018-06-28,14,60,11,16,2,1,4,32,10,0,0,4,0,0,19,0,0,1,262,4.0,0.26666666666666666,0.0,2.0,2.0,0.0,3.0,3.0,2.0,3.0,2.0,0.0,10.0,5.0,0.3939393939393939,0.3333333333333333,0.7272727272727273
강백호,68050,2018-07-22,16,66,14,16,4,0,2,26,8,0,0,9,0,0,18,1,0,0,302,5.0,0.24242424242424246,3.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,8.0,9.0,0.5238095238095238,0.4814814814814815,1.0052910052910051
강백호,68050,2018-09-08,19,84,17,25,3,1,6,48,14,2,0,6,1,0,17,0,0,0,369,10.0,0.2976190476190476,2.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,4.0,4.0,8.0,11.0,0.6666666666666666,0.38461538461538464,1.051282051282051
강백호,68050,2019-03-23,20,83,10,26,5,0,3,40,10,2,0,6,0,1,18,3,0,0,338,4.0,0.3132530120481928,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,2.0,6.0,14.0,0.4375,0.3888888888888889,0.8263888888888888
강백호,68050,2019-04-16,20,80,14,25,5,1,1,35,12,2,1,10,0,1,16,1,0,0,343,6.0,0.3125,3.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,0.0,3.0,11.0,9.0,0.476923076923077,0.4705882352941176,0.9475113122171944
강백호,68050,2019-05-10,19,65,18,21,1,0,3,31,9,1,0,18,1,1,11,2,0,1,330,6.0,0.3230769230769231,0.0,6.0,6.0,3.0,5.0,0.0,0.0,0.0,2.0,3.0,10.0,9.0,0.5657894736842105,0.4578313253012048,1.0236207989854154
강백호,68050,2019-08-14,18,65,8,20,4,0,3,33,14,0,0,10,0,0,14,2,0,0,275,8.0,0.3076923076923077,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,9.0,9.0,0.4,0.3934426229508197,0.7934426229508197
강백호,68050,2020-05-05,14,57,13,19,6,1,5,42,14,0,0,7,0,0,10,0,0,1,223,8.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,9.0,5.0,0.7441860465116279,0.4166666666666667,1.1608527131782946
강백호,68050,2020-05-29,11,43,10,16,1,0,5,32,10,2,0,4,0,1,6,0,0,1,152,4.0,0.372093023255814,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,6.0,0.3888888888888889,0.3764705882352941,0.7653594771241831
강백호,68050,2020-06-22,18,72,15,20,2,0,2,28,12,0,0,12,0,2,19,2,0,1,342,2.0,0.2777777777777778,3.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,2.0,0.0,10.0,9.0,0.2830188679245283,0.3050847457627119,0.5881036136872402
강백호,68050,2020-07-16,14,53,4,12,3,0,0,15,7,0,1,5,1,0,10,3,0,0,208,6.0,0.22641509433962265,1.0,1.0,1.0,3.0,0.0,1.0,6.0,0.0,0.0,2.0,7.0,7.0,0.65,0.4505494505494506,1.1005494505494506
강백호,68050,2020-08-09,19,80,17,30,10,0,4,52,11,2,1,10,1,0,14,0,0,0,363,10.0,0.375,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,8.0,12.0,0.3924050632911392,0.38461538461538464,0.7770204479065239
강백호,68050,2020-09-02,21,79,13,23,2,0,2,31,14,0,0,10,2,1,13,0,0,0,358,9.0,0.2911392405063291,0.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,11.0,10.0,0.6049382716049383,0.4631578947368421,1.0680961663417805
강백호,68050,2020-09-26,21,81,16,30,7,0,4,49,12,2,0,13,1,3,18,2,0,0,379,5.0,0.3703703703703704,6.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,12.0,9.0,0.5957446808510638,0.4716981132075472,1.0674427940586109
강백호,68050,2020-10-20,11,47,8,19,6,0,1,28,9,1,0,6,0,3,5,0,0,0,214,9.0,0.40425531914893614,1.0,2.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,5.0,6.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
강백호,68050,2021-04-18,19,74,11,30,5,0,3,44,27,0,0,9,0,0,7,0,0,3,346,12.0,0.40540540540540543,0.0,3.0,0.0,3.0,0.0,0.0,6.0,3.0,1.0,3.0,11.0,8.0,0.7096774193548387,0.5526315789473685,1.2623089983022069
강백호,68050,2021-05-12,16,62,10,28,4,0,4,44,15,2,2,14,0,1,12,1,0,0,349,2.0,0.4516129032258064,2.0,3.0,3.0,0.0,2.0,3.0,0.0,3.0,2.0,2.0,7.0,10.0,0.5079365079365079,0.4938271604938271,1.0017636684303348
강백호,68050,2021-06-05,19,63,15,22,4,0,2,32,9,3,0,18,0,3,12,0,0,0,366,4.0,0.3492063492063492,0.0,3.0,0.0,0.0,4.0,6.0,2.0,2.0,0.0,2.0,12.0,7.0,0.5555555555555556,0.4545454545454545,1.0101010101010102
강승호,63123,2018-03-24,19,52,3,13,2,0,1,18,6,1,1,6,1,0,14,0,3,1,209,4.0,0.25,0.0,3.0,3.0,3.0,2.0,0.0,2.0,3.0,0.0,3.0,9.0,10.0,0.16666666666666666,0.1956521739130435,0.3623188405797101
강승호,63123,2018-09-08,12,48,4,14,0,0,0,14,7,0,0,3,1,0,12,0,1,0,213,1.0,0.2916666666666667,1.0,2.0,4.0,2.0,2.0,4.0,1.0,0.0,2.0,0.0,8.0,10.0,0.26666666666666666,0.29411764705882354,0.5607843137254902
강승호,63123,2021-05-12,16,58,10,15,2,1,1,22,7,1,0,3,0,0,18,1,2,0,253,6.0,0.25862068965517243,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,8.0,9.0,0.2388059701492537,0.23943661971830985,0.4782425898675636
강승호,63123,2021-06-05,19,67,7,13,3,0,0,16,6,4,0,3,1,1,13,1,1,0,267,5.0,0.19402985074626866,3.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,3.0,2.0,10.0,10.0,0.2857142857142857,0.375,0.6607142857142857
강진성,62925,2019-05-13,10,39,4,9,3,1,0,14,7,1,0,2,1,0,6,1,0,0,157,7.0,0.2307692307692308,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,7.0,7.0,0.16666666666666666,0.16666666666666666,0.3333333333333333
강진성,62925,2020-05-07,14,53,8,24,3,0,5,42,19,2,0,5,2,0,7,2,1,2,241,8.0,0.4528301886792453,2.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,10.0,9.0,0.6857142857142857,0.4155844155844156,1.1012987012987012
강진성,62925,2020-05-31,18,70,17,26,10,0,4,48,16,2,0,3,3,0,10,0,0,1,289,12.0,0.37142857142857133,0.0,2.0,2.0,3.0,3.0,6.0,0.0,0.0,1.0,3.0,12.0,7.0,0.2727272727272727,0.25,0.5227272727272727
강진성,62925,2020-06-24,17,66,7,16,2,0,0,18,6,0,0,1,0,0,6,1,0,1,236,6.0,0.24242424242424246,2.0,3.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,6.0,12.0,0.4489795918367347,0.3333333333333333,0.782312925170068
강진성,62925,2020-07-18,12,49,7,15,1,0,2,22,10,1,1,2,0,0,4,2,0,0,198,4.0,0.30612244897959184,0.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,6.0,6.0,0.5,0.3235294117647059,0.8235294117647058
강진성,62925,2020-08-11,8,32,5,10,3,0,1,16,3,0,0,1,0,0,3,0,1,1,118,5.0,0.3125,1.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,5.0,0.2549019607843137,0.2909090909090909,0.5458110516934046
강진성,62925,2020-09-04,13,51,6,12,1,0,0,13,5,3,0,3,1,0,5,2,0,0,207,4.0,0.2352941176470588,1.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,1.0,5.0,10.0,0.3333333333333333,0.34545454545454546,0.6787878787878787
강진성,62925,2020-09-28,12,48,1,13,3,0,0,16,9,1,0,3,3,0,6,4,0,1,214,3.0,0.2708333333333333,4.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,11.0,8.0,0.3076923076923077,0.2857142857142857,0.5934065934065934
강진성,62925,2021-05-12,16,54,7,14,4,0,0,18,5,3,0,6,1,0,10,3,0,0,246,1.0,0.25925925925925924,3.0,2.0,0.0,3.0,2.0,3.0,0.0,3.0,1.0,0.0,6.0,11.0,0.4375,0.3698630136986301,0.8073630136986301
강진성,62925,2021-06-05,17,64,9,18,4,0,2,28,7,1,1,8,1,1,10,4,0,0,284,9.0,0.28125,3.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,3.0,3.0,10.0,9.0,0.5,0.3181818181818182,0.8181818181818181
강한울,64610,2018-03-24,18,65,5,19,0,0,0,19,4,1,0,3,0,0,10,0,1,0,299,1.0,0.2923076923076923,0.0,3.0,3.0,3.0,5.0,3.0,2.0,0.0,0.0,2.0,6.0,12.0,0.275,0.2888888888888889,0.5638888888888889
강한울,64610,2018-04-17,11,40,5,8,3,0,0,11,0,1,2,5,0,0,10,1,1,0,196,0.0,0.2,3.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,10.0,8.0,0.4390243902439024,0.3863636363636364,0.8253880266075388
강한울,64610,2018-05-11,10,41,7,14,2,1,0,18,4,0,1,2,1,0,3,0,1,0,179,2.0,0.3414634146341464,2.0,2.0,3.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,9.0,8.0,0.1875,0.21212121212121213,0.39962121212121215
강한울,64610,2020-09-10,18,62,7,22,1,0,1,26,7,0,0,8,0,0,13,2,4,1,313,3.0,0.3548387096774194,2.0,1.0,3.0,2.0,2.0,0.0,5.0,2.0,0.0,2.0,8.0,13.0,0.3157894736842105,0.3170731707317073,0.6328626444159178
강한울,64610,2021-04-18,10,39,6,13,1,0,0,14,4,0,0,8,0,0,12,1,1,1,224,1.0,0.3333333333333333,3.0,3.0,3.0,0.0,0.0,2.0,3.0,4.0,0.0,3.0,12.0,7.0,0.16129032258064516,0.25,0.4112903225806451
강한울,64610,2021-05-12,7,31,1,5,0,0,0,5,1,0,1,4,0,0,10,1,1,1,168,1.0,0.16129032258064516,2.0,3.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,8.0,9.0,0.28125,0.2727272727272727,0.5539772727272727
강한울,64610,2021-06-05,7,32,5,8,1,0,0,9,2,1,0,1,0,0,5,1,0,0,122,1.0,0.25,2.0,2.0,0.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,10.0,6.0,0.3461538461538461,0.4137931034482759,0.7599469496021221
고승민,69517,2019-08-05,14,55,4,13,4,0,0,17,2,0,0,4,0,0,9,1,1,1,220,3.0,0.2363636363636364,2.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,9.0,7.0,0.2307692307692308,0.15384615384615385,0.38461538461538464
고종욱,61353,2018-03-24,14,62,8,16,1,0,3,26,10,3,2,4,0,1,20,0,0,1,252,4.0,0.25806451612903225,3.0,3.0,6.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,10.0,8.0,0.22448979591836732,0.21153846153846154,0.4360282574568289
고종욱,61353,2018-06-04,18,77,11,25,7,0,0,32,15,2,1,1,1,0,18,0,0,2,308,5.0,0.3246753246753247,0.0,3.0,0.0,0.0,6.0,3.0,0.0,2.0,3.0,0.0,12.0,8.0,0.5128205128205128,0.3333333333333333,0.8461538461538459
고종욱,61353,2018-06-28,9,39,5,12,5,0,1,20,9,4,0,2,0,0,11,0,0,1,164,8.0,0.3076923076923077,3.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,3.0,8.0,7.0,0.4615384615384616,0.38235294117647056,0.8438914027149321
고종욱,61353,2018-07-22,16,65,10,23,7,0,0,30,7,5,1,3,0,0,15,1,1,0,252,0.0,0.3538461538461539,2.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,10.0,9.0,0.2307692307692308,0.21428571428571427,0.445054945054945
고종욱,61353,2019-03-24,7,36,7,10,2,1,1,17,5,4,1,2,0,0,8,0,0,0,147,3.0,0.2777777777777778,3.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,12.0,5.0,0.4230769230769231,0.275,0.698076923076923
고종욱,61353,2019-04-17,18,78,16,21,7,1,1,33,11,5,0,0,1,0,18,0,0,1,308,8.0,0.2692307692307692,0.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,9.0,11.0,0.42028985507246375,0.4189189189189189,0.8392087739913827
고종욱,61353,2019-05-11,17,69,15,26,1,1,0,29,6,5,3,5,0,1,12,1,0,0,240,3.0,0.37681159420289856,3.0,2.0,5.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,8.0,10.0,0.4470588235294118,0.3707865168539326,0.8178453403833443
고종욱,61353,2019-06-04,19,85,9,30,6,1,0,38,9,1,0,3,0,0,13,0,0,1,331,10.0,0.35294117647058826,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,9.0,12.0,0.4166666666666667,0.35,0.7666666666666666
고종욱,61353,2019-06-28,14,60,8,21,4,0,0,25,11,4,1,0,0,0,10,1,0,0,200,2.0,0.35,3.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,8.0,7.0,0.38461538461538464,0.2777777777777778,0.6623931623931625
고종욱,61353,2019-07-22,14,52,5,13,3,2,0,20,3,1,2,2,0,0,9,0,0,0,204,4.0,0.25,2.0,3.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,6.0,9.0,0.5538461538461539,0.4626865671641791,1.016532721010333
고종욱,61353,2019-08-15,16,65,11,29,2,1,1,36,8,7,2,2,0,0,9,1,0,0,231,4.0,0.4461538461538462,2.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,9.0,7.0,0.1914893617021277,0.2549019607843137,0.44639132248644137
